,,,,,,"Ministério da Educação",,,,,,,,,,,
,,,,,,"Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira",,,,,,,,,,,
,,,,,,"Resultados ENADE 2005",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
co_grupo,co_ies,co_munic,"Ano Enade",Área,"Sub. Área","Nome da IES","Sigla IES","Município (funcionamento do curso)",UF,"Média FG_Ing","Média FG_Conc","Média CE_Ing","Média CE_Conc","Média Geral Ing","Média Geral Conc",Conceito_Enade,Conceito_IDD
17,439,3524105,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO FILADÉLFIA",UniFil,LONDRINA,PR,"44,900001525878906",42,"30,799999237060547","36,29999923706055","34,400001525878906","37,70000076293945",2,1
17,1766,3201308,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO FLUMINENSE",UNIFLU,"CAMPOS DOS GOYTACAZES",RJ,"37,099998474121094",,25,,"28,100000381469727",,SC,
17,1078,4104303,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO FRANCISCANO",Unifra,"SANTA MARIA",RS,49,,"30,799999237060547",,"35,29999923706055",,SC,
17,1190,3550308,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO GERALDO DI BIASE",UGB,"VOLTA REDONDA",RJ,"57,5","56,400001525878906","34,70000076293945","42,5","40,400001525878906",46,3,2
17,1227,2903201,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS",CEULM/ULBR,MANAUS,AM,"44,79999923706055","51,79999923706055","27,299999237060547","42,5","31,700000762939453","44,79999923706055",3,3
17,648,3170107,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO METODISTA BENNETT",UNIBENNETT,"RIO DE JANEIRO",RJ,"48,599998474121094","42,099998474121094","40,79999923706055","36,900001525878906","42,79999923706055","38,20000076293945",3,1
17,596,3121605,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX",UNIZABELA,"BELO HORIZONTE",MG,54,"60,29999923706055","42,400001525878906","55,099998474121094","45,29999923706055","56,400001525878906",4,3
17,404,5300108,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO MOURA LACERDA",CUML,"RIBEIRÃO PRETO",SP,"55,29999923706055",53,"36,29999923706055","44,599998474121094","41,099998474121094","46,70000076293945",3,1
17,1312,5107602,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO NILTON LINS",UNINILTONL,MANAUS,AM,"45,900001525878906","57,5","27,100000381469727","47,900001525878906","31,799999237060547","50,29999923706055",3,
17,3193,4119905,2005,"ARQUITETURA E URBANISMO",,"CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO",CEUNSP,SALTO,SP,48,"50,900001525878906","31,799999237060547",39,"35,900001525878906",42,3,2
