Ano,"Código da IES","Nome da IES","Sigla da IES","Organização Acadêmica","Categoria Administrativa","Código do Curso","Código da Área","Área de Enquadramento","Modalidade de Ensino","Código do Município","Município do Curso","Sigla da UF","Concluintes Inscritos","Concluintes Participantes","Nota Bruta - FG","Nota Bruta - CE","Nota Contínua do Enade","Concluintes Participantes com nota no Enem","Percentual de Concluintes participantes com nota no Enem","Nota Bruta - IDD","Nota Padronizada - IDD","Nota Bruta - Organização Didático-Pedagógica","Nota Padronizada - Organização Didático-Pedagógica","Nota Bruta - Infraestrutura e Instalações Físicas","Nota Padronizada - Infraestrutura e Instalações Físicas","Nota Bruta - Oportunidades de Ampliação da Formação","Nota Padronizada - Oportunidades de Ampliação da Formação","Nr. de Docentes","Nota Bruta - Mestres","Nota Padronizada - Mestres","Nota Bruta - Doutores","Nota Padronizada - Doutores","Nota Bruta - Regime de Trabalho","Nota Padronizada - Regime de Trabalho","CPC Contínuo","CPC Faixa",Obs
2015,719,"UNIVERSIDADE DO ESTADO DE MATO GROSSO",UNEMAT,Universidade,Estadual,1330624,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",5106224,"NOVA MUTUM",MT,17,14,"58,635714285714286","39,43571428571429","2,7635908126831055",6,"0,4285714328289032","4,044929504394531","4,282894861319566","4,707674503326416","2,1991060133376643","4,04794979095459","1,7625831349692764","3,012896776199341","1,0484525568385752",21,"0,38095238095238093","1,7113095238095233",0,0,1,5,"2,8343529999539365",3,
2015,724,"Centro Universitário FACEX",UNIFACEX,"Centro Universitário",Privada,21278,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",2408102,NATAL,RN,43,43,"61,79534883720932","50,920930232558135","4,162951469421387",40,"0,930232584476471","1,836861252784729","3,3072306490882033",6,5,6,5,6,5,18,1,5,"0,5","3,0147058823529416",1,5,"3,9423269034180897",4,
2015,730,"UNIVERSIDADE ESTADUAL DE PONTA GROSSA",UEPG,Universidade,Estadual,16400,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",4119905,"PONTA GROSSA",PR,63,56,"56,72142857142857","44,719642857142865","3,2612862586975098",39,"0,6964285969734192","-0,41763725876808167","2,311050611334705","4,047448635101318","0,7681796183153171","3,7127633094787598","1,2066863844493123","3,1291768550872803","1,202275914785883",37,"0,8108108108108109","3,994932432432432","0,13513513513513514","0,814785373608903",1,5,"2,405967392646178",3,
2015,730,"UNIVERSIDADE ESTADUAL DE PONTA GROSSA",UEPG,Universidade,Estadual,150038,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",4125605,"SAO MATEUS DO SUL",PR,24,24,"54,770833333333336","38,758333333333326","2,5214855670928955",4,"0,1666666716337204",,"2,5214855670928955","5,273380756378174","3,425177344800499","4,456723690032959","2,4405224157974232","3,262629270553589","1,37881603128331",37,"0,8108108108108109","3,994932432432432","0,13513513513513514","0,814785373608903",1,5,"2,5970396228068515",3,
2015,736,"FACULDADE PITÁGORAS DE LINHARES",,Faculdade,Privada,16797,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",3203205,LINHARES,ES,23,16,"45,456250000000004","36,306250000000006","1,8479232788085938",12,"0,75","-0,4173499643802643","2,3111775561663985","4,179906368255615","1,0552590493361707","4,197443008422852","2,0105131632015563","3,7056548595428467","1,9648810254478413",17,"0,5882352941176471","2,8125","0,23529411764705882","1,4186851211072664","0,4117647058823529","1,9457013574660633","1,9769567828924894",3,
2015,739,"CENTRO UNIVERSITÁRIO SÃO CAMILO - ESPÍRITO SANTO","SÃO CAMILO-ES","Centro Universitário",Privada,119152,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",3201209,"CACHOEIRO DE ITAPEMIRIM",ES,77,76,"48,98289473684212","35,382894736842104","1,8994252681732178",64,"0,8421052694320679","-0,35895922780036926","2,3369782767579372","5,894974708557129","4,772375683984437","5,8777055740356445","4,797178353670592","5,8189239501953125","4,76046003501912",7,"0,5714285714285714","2,7232142857142847","0,42857142857142855","2,584033613445378","0,5714285714285714","2,7747252747252746","2,714576554407535",3,
2015,744,"FACULDADE DE EDUCAÇÃO E CIÊNCIAS HUMANAS DE ANICUNS",FECHA,Faculdade,Estadual,69931,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",5201306,ANICUNS,GO,27,24,"45,425000000000004","27,529166666666665","0,8819117546081543",9,"0,375","-1,341300129890442","1,902917933885109","5,503077507019043","3,9230056777412887","4,9613356590271","3,2774062680405844","4,599647521972656","3,1475165605314914",17,"0,7647058823529411","3,7499999999999996","0,35294117647058826","2,1280276816608996",1,5,"2,354641433276467",3,
2015,749,"CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA",CESVALE,Faculdade,Privada,16624,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",2211001,TERESINA,PI,24,22,"45,36818181818182","32,331818181818186","1,4072881937026978",14,"0,6363636255264282","-1,5777415037155151","1,7984431801886334","4,388669490814209","1,5077173318016035","3,806473731994629","1,3621023163122477","3,166450262069702","1,2515837642387393",16,"0,4375","2,0117187499999996",0,0,1,5,"1,6492651678632622",2,
2015,750,"CENTRO UNIVERSITÁRIO UNIRG",UNIRG,"Centro Universitário",Estadual,16629,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",1709500,GURUPI,TO,79,72,"49,95","32,79305555555556","1,656738519668579",36,"0,5","0,024817921221256256","2,5065552948141487","5,062455177307129","2,9680323085275044","4,831990718841553","3,0628915548315154","4,344618320465088","2,810146234283943",27,"0,4444444444444444","2,0486111111111107",0,0,1,5,"2,183288547190238",3,
2015,752,"FACULDADE DE PARÁ DE MINAS",FAPAM,Faculdade,Privada,1154340,22,"CIÊNCIAS CONTÁBEIS","Educação Presencial",3147105,"PARA DE MINAS",MG,29,29,"47,25862068965516","43,45172413793103","2,7114415168762207",13,"0,4482758641242981","1,502200961112976","3,159356565213762","5,313275337219238","3,51164201013889","5,350574970245361","3,92294801939091","4,636124610900879","3,1957709851994447",25,"0,8","3,937499999999999","0,16","0,9647058823529413","0,56","2,7153846153846155","2,8311501560667964",3,
