"Ano Enade","Código IES",IES,"Sigla IES","Código Área","Código Área Agrupamento","Área Enquadramento","Código UF","Sigla UF","Código Município",Município,"Categoria Administrativa","Organização Acadêmica","Número Cursos Unidade","Número Concluintes Inscritos","Número de Concluintes Participantes","Média FG Conc","Média CE Conc","Nota Enade Concluintes","Conceito Enade Faixa","Número Ingressantes Inscritos","Número Ingressantes Participantes no  Enem","Nota Enem Ingressantes","Nota IDD","Proporção de respostas sobre infraestrutura","Nota de Infraestrutura","Proporção de respostas sobre plano ensino","Nota de Organização Pedagógica","Número docentes","Proporção Docentes Mestres","Nota Mestrado","Proporção Docentes Doutores","Nota Doutorado","Proporção Docentes Parc Integral","Nota Regime","CPC Contínuo","CPC Faixa"
2011,18,"UNIVERSIDADE CATÓLICA DE PELOTAS",UCPEL,21,21,"ARQUITETURA E URBANISMO",43,RS,430703314407,PELOTAS,PRIVADA,UNIVERSIDADES,1,26,25,"50,3","44,06","2,21347713470459",3,23,17,"56,2380867004395","3,24203729629517","0,729166686534882","2,77162456512451","0,833333313465118","3,33333325386047",35,"0,885714292526245","4,22077941894531","0,200000002980232","1,20000004768372","0,914285719394684","4,57142877578735","2,87469601631165",3
2011,19,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS",PUC-CAMPINAS,21,21,"ARQUITETURA E URBANISMO",35,SP,350703209502,CAMPINAS,PRIVADA,UNIVERSIDADES,1,131,115,"49,1391304347826","44,7269565217391","2,25026988983154",3,200,169,"61,1924095153809","2,12562799453735","0,856521725654602","3,81948256492615","0,793859660625458","2,93859672546387",56,"0,892857134342194","4,26948022842407","0,41071429848671","2,4642858505249","0,321428567171097","1,60714268684387","2,51126933097839",3
2011,20,"UNIVERSIDADE DE PASSO FUNDO",UPF,21,21,"ARQUITETURA E URBANISMO",43,RS,430101014100,"PASSO FUNDO",PRIVADA,UNIVERSIDADES,1,47,42,"57,9880952380952","49,0833333333333","3,18319821357727",4,114,96,"56,796459197998","3,64743876457214","0,75","2,94303798675537","0,887499988079071","3,875",54,"0,777777791023254","3,4848484992981","0,277777791023254","1,66666674613953","0,592592597007751","2,96296310424805","3,15818190574646",4
2011,21,"PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL",PUCRS,21,21,"ARQUITETURA E URBANISMO",43,RS,430502614902,"PORTO ALEGRE",PRIVADA,UNIVERSIDADES,1,104,103,"54,8543689320388","47,6242718446602","2,86357188224792",3,92,76,"61,6441459655762","3,04717803001404","0,936893224716187","4,48076677322388","0,838235318660736","3,38235330581665",64,"0,8125","3,72159099578857","0,34375","2,0625","0,96875","4,84375","3,18073630332947",4
2011,22,"UNIVERSIDADE PRESBITERIANA MACKENZIE",MACKENZIE,21,21,"ARQUITETURA E URBANISMO",35,SP,351506150308,"SÃO PAULO",PRIVADA,UNIVERSIDADES,1,440,395,"43,3101265822785","40,9037974683543","1,51317262649536",2,357,261,"65,7646636962891","0,543623089790344","0,671391725540161","2,29626107215881","0,699742257595062","1,99742269515991",157,"0,821656048297882","3,78401851654053","0,426751583814621","2,56050944328308","0,343949049711227","1,71974527835846","1,61178755760193",2
2011,23,"UNIVERSIDADE FEEVALE",FEEVALE,21,21,"ARQUITETURA E URBANISMO",43,RS,430502613409,"NOVO HAMBURGO",PRIVADA,UNIVERSIDADES,1,48,43,"54,2674418604651","46,0023255813953","2,63036060333252",3,149,69,"53,7050018310547","3,38093852996826",1,5,"0,941860437393188","4,41860437393188",35,"0,971428573131561","4,80519485473633","0,257142871618271","1,54285728931427","0,971428573131561","4,85714292526245","3,37189984321594",4
2011,47,"UNIVERSIDADE ESTADUAL DE GOIÁS",UEG,21,21,"ARQUITETURA E URBANISMO",52,GO,520300701108,ANÁPOLIS,PÚBLICA,UNIVERSIDADES,1,89,80,"58,1375","47,60875","2,99996519088745",4,57,45,"61,6100540161133","3,17133951187134","0,518750011920929","1,04034829139709","0,848101258277893","3,48101258277893",40,"0,574999988079071","2,10227251052856","0,125","0,750000059604645",1,5,"2,6942343711853",3
2011,54,"UNIVERSIDADE ESTADUAL DE CAMPINAS",UNICAMP,21,21,"ARQUITETURA E URBANISMO",35,SP,350703209502,CAMPINAS,PÚBLICA,UNIVERSIDADES,1,40,38,"47,5657894736842","47,2184210526316","2,50418329238892",3,28,25,"70,9996032714844","0,854597449302673","0,921052634716034","4,35043287277222","0,756756782531738","2,56756782531738",106,"0,933962285518646","4,54974317550659","0,867924511432648",5,1,5,"2,78502655029297",3
2011,56,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",UNESP,21,21,"ARQUITETURA E URBANISMO",35,SP,350402006003,BAURU,PÚBLICA,UNIVERSIDADES,1,50,50,"57,94","53,716","3,77661466598511",4,45,43,"69,43994140625","2,93140697479248","0,448979586362839","0,466287612915039","0,620000004768372","1,20000004768372",26,"0,961538434028625","4,73776197433472","0,769230782985687","4,61538457870483",1,5,"3,32892680168152",4
2011,56,"UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO",UNESP,21,21,"ARQUITETURA E URBANISMO",35,SP,350803641406,"PRESIDENTE PRUDENTE",PÚBLICA,UNIVERSIDADES,1,58,50,"52,62","48,862","2,9284770488739",,43,39,"67,3544845581055","2,02997517585754","0,724489808082581","2,7331440448761","0,744897961616516","2,44897961616516",24,"0,958333313465118","4,71590900421143","0,833333313465118",5,1,5,"3,16353917121887","Unidade com cursos não reconhecidos até 30/09/2012"
