Ano Enade,"Código da área","Área de enquadramento","Código da IES","Nome da IES","Sigla da IES","Categoria administrativa","Organização acadêmica","Número de cursos da unidade","Código do município do curso","Município do curso","UF do curso","Número concluintes inscritos no Enade","Número concluintes participantes no Enade","Nota bruta de formação geral","Nota bruta de componente específico","Nota bruta geral","Nota padronizada de formação geral","Nota padronizada de componente específico","Nota de concluintes","Número de ingressantes inscritos no Enade","Número de ingressantes participantes no Enem","Nota dos ingressantes no Enem","Escolaridade dos pais (superior) dos ingressantes no Enem","Nota bruta do IDD","Nota padronizada do IDD","% de infraestrutura","Nota padronizada de infraestrutura","% organização didático pedagógica","Nota padronizada de organização didático pedagógica","% doutores","Nota padronizada de doutores","% de mestres","Nota padronizada de mestres","% de regime de trabalho (integral / parcial)","Nota padronizada de regime de trabalho (integral / parcial)","CPC (contínuo)","CPC (faixa)"
2012,13,"CIÊNCIAS ECONÔMICAS",3151,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ",UNOCHAPECÓ,Pública,Universidade,1,4204202,CHAPECO,SC,31,29,"43,034481048583984","25,44137954711914","29,85862159729004","2,6219804286956787","1,8398902416229248","2,0354127883911133",37,23,"53,22152328491211","42,85714340209961","0,1498579978942871","2,7315902709960938","96,42857360839844","4,672619342803955","85,71428680419922","3,5714285373687744","10,526315689086914","0,5263157486915588","73,68421173095703","3,13596510887146",100,5,"2,6705875396728516",3
2012,13,"CIÊNCIAS ECONÔMICAS",3304,"FACULDADES INTEGRADAS DE PATOS",FIP,Privada,Faculdade,1,2510808,PATOS,PB,50,48,"44,15625","22,141666412353516","27,662500381469727","2,7852845191955566","1,2002456188201904","1,5965054035186768",0,0,.,.,.,.,"66,66666412353516","1,9444442987442017","73,95833587646484","2,3958334922790527",0,0,"71,42857360839844","2,9761908054351807",50,"2,5",.,SC
2012,13,"CIÊNCIAS ECONÔMICAS",3602,"FACULDADES INTEGRADAS DO BRASIL",FACBRASIL,Privada,Faculdade,1,4106902,CURITIBA,PR,30,22,"39,8863639831543","21,25","25,918182373046875","2,1636855602264404","1,0273973941802979","1,3114694356918335",0,0,.,.,.,.,"91,3043441772461","4,202898025512695","86,9565200805664","3,6956520080566406",50,"2,5","87,5","4,114583492279053",75,"3,75",.,SC
2012,13,"CIÊNCIAS ECONÔMICAS",3649,"FACULDADE CIDADE VERDE",FCV,Privada,Faculdade,1,4115200,MARINGA,PR,16,15,"48,86666488647461","27,31999969482422","32,72666549682617","3,4710147380828857","2,2040579319000244","2,5207972526550293",31,9,"53,06833267211914","66,66666412353516","2,8225743770599365","3,2587249279022217",100,5,"96,66666412353516","4,666666507720947","13,88888931274414","0,6944444179534912","88,88888549804688","4,212962627410889","80,55555725097656","4,027777671813965","3,091935396194458",4
2012,13,"CIÊNCIAS ECONÔMICAS",3753,"FACULDADES INTEGRADAS DOM PEDRO II",DOMPEDRO,Privada,Faculdade,1,3549805,"SAO JOSE DO RIO PRETO",SP,7,7,"50,64285659790039","26,328571319580078","32,39999771118164","3,729588270187378","2,011871099472046","2,441300392150879",9,1,.,.,.,"2,441300392150879","78,57142639160156","3,0357141494750977","78,57142639160156","2,857142686843872","12,5","0,6249998807907104","31,25","0,13020841777324677","37,5","1,875","2,028820037841797",3
2012,13,"CIÊNCIAS ECONÔMICAS",3840,"CENTRO UNIVERSITÁRIO FACVEST",FACVEST,Privada,"Centro Universitário",1,4209300,LAGES,SC,27,23,"42,15217208862305","21,843477249145508","26,934782028198242","2,4935359954833984","1,142441987991333","1,4802155494689941",0,0,.,.,.,.,"97,91666412353516","4,809027671813965",90,4,60,3,100,5,100,5,.,SC
2012,13,"CIÊNCIAS ECONÔMICAS",3849,"FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS",UFT,Pública,Universidade,1,1721000,PALMAS,TO,36,24,"46,125","30,649999618530273","34,52083206176758","3,071890115737915","2,8495736122131348","2,9051527976989746",37,24,"53,62125015258789",75,"5,504147052764893","3,7876060009002686",74,"2,616666793823242",72,"2,200000047683716","45,45454406738281","2,2727270126342773",100,5,100,5,"3,358851671218872",4
2012,13,"CIÊNCIAS ECONÔMICAS",3966,"CENTRO UNIVERSITÁRIO DE CARATINGA",UNEC,Privada,"Centro Universitário",1,3113404,CARATINGA,MG,6,3,"41,66666793823242","27,233333587646484","30,866666793823242","2,4228575229644775","2,187257766723633","2,246157646179199",14,13,"54,31134796142578","46,153846740722656","-0,2169714719057083","2,6592414379119873","87,5","3,8541667461395264","87,5","3,75","46,66666793823242","2,3333332538604736","93,33333587646484","4,527778148651123","73,33333587646484","3,6666667461395264",.,"Unidade com cursos não reconhecidos até 22/11/2013"
2012,13,"CIÊNCIAS ECONÔMICAS",3974,"UNIVERSIDADE DE RIO VERDE",FESURV,Pública,Universidade,1,5218805,"RIO VERDE",GO,18,16,"42,09375","23,412500381469727","28,09375","2,4850311279296875","1,4465949535369873","1,7062039375305176",0,0,.,.,.,.,"55,882354736328125","0,955882728099823","67,64705657958984","1,7647056579589844",40,"1,9999998807907104",80,"3,5833334922790527",80,4,.,SC
2012,13,"CIÊNCIAS ECONÔMICAS",4017,"CENTRO UNIVERSITÁRIO PADRE ANCHIETA",UNIANCHIETA,Privada,"Centro Universitário",1,3525904,JUNDIAI,SP,35,33,"45,84848403930664","24,85151481628418","30,118181228637695","3,0316357612609863","1,7255457639694214","2,0520682334899902",35,23,"54,72261047363281","45,45454406738281","0,07763457298278809","2,717345952987671","92,64705657958984","4,325980186462402","78,78787994384766","2,8787879943847656","31,25","1,5624998807907104","87,5","4,114583492279053","37,5","1,875","2,5854361057281494",3
