,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,1808,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IFES,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",ES,24,"0,8963704705238342","2,882861497376913","0,10362953692674637","4,091428571428571",0,0,"3,008104765084791",4,
2016,1809,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",PE,14,"0,9796003103256226","2,6279922014521975","0,02039966732263565",4,0,0,"2,6559806453664314",3,
2016,1810,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",SP,36,"0,9608150720596313","2,7921417237555626","0,03918495401740074","4,179347826086957",0,0,"2,846499403898845",3,
2016,1811,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",GO,16,"0,943631649017334","2,511094502992483","0,056368328630924225",4,0,0,"2,5950215612208565",3,
2016,1812,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS",IFAM,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",AM,7,"0,9091726541519165","2,403901476426626","0,0908273383975029","4,147435897435898",0,0,"2,562262049380868",3,
2016,1813,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",PA,40,"0,977439820766449","2,0915111159588307","0,022560203447937965",4,0,0,"2,134567064105587",3,
2016,1820,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",PI,25,"0,9700815677642822","2,377752105632083","0,029918404296040535","4,197183098591549",0,0,"2,4321865112345646",3,
2016,2564,"UNIVERSIDADE FEDERAL DE CAMPINA GRANDE",UFCG,Universidade,"Pessoa Jurídica de Direito Público - Federal",PB,58,"0,7546926140785217","2,8518665785347315","0,13300704956054688","4,392779783393503","0,1123003289103508","4,623435722411831","3,2557666738386484",4,
2016,3151,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ",UNOCHAPECÓ,Universidade,"Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação",SC,38,"0,9638082981109619","2,659208013369885","0,036191675812006","3,9999999999999996",0,0,"2,707733452937085",3,
2016,3160,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE ALAGOAS",IFAL,"Instituto Federal de Educação, Ciência e Tecnologia","Pessoa Jurídica de Direito Público - Federal",AL,8,1,"2,258585043435602",0,0,0,0,"2,258585043435602",3,
