Ano,Cód.IES,"Nome da IES","Sigla da IES","Org. Acadêmica","Categ. Administrativa","UF da IES","Nr. de Cursos com CPC no Triênio","alfa (Proporção de Graduandos)","Conceito médio da Graduação","beta (Proporção de Mestrandos - Equivalente)","Conceito Médio do Mestrado","gama (Proporção de Doutorandos - Equivalente)","Conceito Médio do doutorado","IGC (Contínuo)","IGC (faixa)",Observação
2016,159,"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU",FAFICA,Faculdade,"Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação",PE,11,1,"2,1979702060180135",0,0,0,0,"2,1979702060180135",3,
2016,160,"FACULDADE FRASSINETTI DO RECIFE",FAFIRE,Faculdade,"Privada sem fins lucrativos",PE,12,1,"2,369463928648128",0,0,0,0,"2,369463928648128",3,
2016,166,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",,Faculdade,"Privada sem fins lucrativos",MG,3,1,"2,820165192403395",0,0,0,0,"2,820165192403395",3,
2016,170,"FACULDADES DA FUNDAÇÃO DE ENSINO DE MOCOCA",FAFEM,Faculdade,"Pessoa Jurídica de Direito Público - Municipal",SP,3,1,"2,14723852618185",0,0,0,0,"2,14723852618185",3,
2016,171,"FACULDADE DE DIREITO DO SUL DE MINAS",FDSM,Faculdade,"Privada sem fins lucrativos",MG,1,"0,9394165873527527","2,7470933177986523","0,06058339402079582",4,0,0,"2,8229986058291443",3,
2016,190,"ESCOLA DE MEDICINA SOUZA MARQUES DA FUNDAÇÃO TÉCNICO-EDUCACIONAL SOUZA MARQUES",EMSM,Faculdade,"Privada sem fins lucrativos",RJ,1,1,"2,2662155680072416",0,0,0,0,"2,2662155680072416",3,
2016,191,"FACULDADE DE CIÊNCIAS CONTÁBEIS E DE ADMINISTRAÇÃO DE EMPRESAS",FCCAE,Faculdade,"Privada sem fins lucrativos",RJ,2,1,"2,055823980375061",0,0,0,0,"2,055823980375061",3,
2016,192,"FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS SOUZA MARQUES",FFCLSM,Faculdade,"Privada sem fins lucrativos",RJ,9,1,"2,331033723721747",0,0,0,0,"2,331033723721747",3,
2016,193,"FACULDADE DE ENGENHARIA SOUZA MARQUES",FESM,Faculdade,"Privada sem fins lucrativos",RJ,2,1,"1,7205400682213121",0,0,0,0,"1,7205400682213121",2,
2016,194,"ESCOLA DE ENFERMAGEM DA FUNDAÇÃO TÉCNICO EDUCACIONAL SOUZA MARQUES",EEFTESM,Faculdade,"Privada sem fins lucrativos",RJ,1,1,"4,0765679470719505",0,0,0,0,"4,0765679470719505",5,
2016,195,"FACULDADE MORAES JÚNIOR - MACKENZIE RIO","FMJ - MACKENZIE RIO",Faculdade,"Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação",RJ,4,1,"2,820829471966258",0,0,0,0,"2,820829471966258",3,
2016,197,"FACULDADE DE EDUCAÇÃO SUPERIOR DO PARANÁ",FESPPR,Faculdade,"Privada sem fins lucrativos",PR,4,1,"2,1991306993979145",0,0,0,0,"2,1991306993979145",3,
2016,200,"FACULDADE CÁSPER LÍBERO",FCL,Faculdade,"Privada sem fins lucrativos",SP,2,"0,9139240384101868","2,589556554637249","0,08607594668865204","4,5",0,0,"2,7539997442045783",3,
2016,202,"FACULDADE DE ECONOMIA E FINANÇAS DO RIO DE JANEIRO",FEFRJ,Faculdade,"Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação",RJ,2,1,"2,057861751990936",0,0,0,0,"2,057861751990936",3,
2016,214,"FACULDADE DE ENGENHARIA DE MINAS GERAIS - FEAMIG",FEAMIG,Faculdade,"Privada sem fins lucrativos",MG,2,1,"2,4893268647236546",0,0,0,0,"2,4893268647236546",3,
2016,218,"FACULDADE DE FILOSOFIA, CIÊNCIAS E LETRAS DE DUQUE DE CAXIAS",FFCLDC,Faculdade,"Privada sem fins lucrativos",RJ,6,1,"1,2663045554123524",0,0,0,0,"1,2663045554123524",2,
2016,219,"FACULDADE DE EDUCAÇÃO CIÊNCIAS E ARTES DOM BOSCO DE MONTE APRAZÍVEL","FAECA DOM BOSCO",Faculdade,"Privada sem fins lucrativos",SP,6,1,"2,117287289935872",0,0,0,0,"2,117287289935872",3,
